FIRST,LAST,ADDRESS,CITY,STATE,ZIP
Alma,Adams, 2436 Rayburn House Office Building,Washington,DC,20515-3312
Robert,Aderholt, 272 Cannon House Office Building,Washington,DC,20515-0104
Pete,Aguilar, 108 Cannon House Office Building,Washington,DC,20515-0533
Mark,Alford, 328 Cannon House Office Building,Washington,DC,20515-2504
Rick,Allen, 462 Cannon House Office Building,Washington,DC,20515-1012
Gabe,Amo, 1119 Longworth House Office Building,Washington,DC,20515-3901
Mark,Amodei, 104 Cannon House Office Building,Washington,DC,20515-2802
Yassamin,Ansari, 1432 Longworth House Office Building,Washington,DC,20515-0303
Jodey,Arrington, 1111 Longworth House Office Building,Washington,DC,20515-4319
Jake,Auchincloss, 1524 Longworth House Office Building,Washington,DC,20515-2104
Brian,Babin, 2236 Rayburn House Office Building,Washington,DC,20515-4336
Don,Bacon, 2104 Rayburn House Office Building,Washington,DC,20515-2702
James,Baird, 2303 Rayburn House Office Building,Washington,DC,20515-1404
Troy,Balderson, 2429 Rayburn House Office Building,Washington,DC,20515-3512
Becca,Balint, 1510 Longworth House Office Building,Washington,DC,20515-4500
Andy,Barr, 2430 Rayburn House Office Building,Washington,DC,20515-1706
Nanette,Barragán, 2312 Rayburn House Office Building,Washington,DC,20515-0544
Tom,Barrett, 1232 Longworth House Office Building,Washington,DC,20515-2207
Michael,Baumgartner, 124 Cannon House Office Building,Washington,DC,20515-4705
Aaron,Bean, 2459 Rayburn House Office Building,Washington,DC,20515-0904
Joyce,Beatty, 2079 Rayburn House Office Building,Washington,DC,20515-3503
Nicholas,Begich, 153 Cannon House Office Building,Washington,DC,20515-0200
Wesley,Bell, 1429 Longworth House Office Building,Washington,DC,20515-2501
Cliff,Bentz, 409 Cannon House Office Building,Washington,DC,20515-3702
Ami,Bera, 172 Cannon House Office Building,Washington,DC,20515-0506
Jack,Bergman, 566 Cannon House Office Building,Washington,DC,20515-2201
Donald,Beyer, 1226 Longworth House Office Building,Washington,DC,20515-4608
Stephanie,Bice, 2402 Rayburn House Office Building,Washington,DC,20515-3605
Andy,Biggs, 464 Cannon House Office Building,Washington,DC,20515-0305
Sheri,Biggs, 1530 Longworth House Office Building,Washington,DC,20515-4003
Gus,Bilirakis, 2306 Rayburn House Office Building,Washington,DC,20515-0912
Sanford,Bishop, 2407 Rayburn House Office Building,Washington,DC,20515-1002
Lauren,Boebert, 1713 Longworth House Office Building,Washington,DC,20515-0604
Suzanne,Bonamici, 2231 Rayburn House Office Building,Washington,DC,20515-3701
Mike,Bost, 352 Cannon House Office Building,Washington,DC,20515-1312
Brendan,Boyle, 1502 Longworth House Office Building,Washington,DC,20515-3802
Josh,Brecheen, 351 Cannon House Office Building,Washington,DC,20515-3602
Robert,Bresnahan, 1133 Longworth House Office Building,Washington,DC,20515-3808
Shontel,Brown, 2455 Rayburn House Office Building,Washington,DC,20515-3511
Julia,Brownley, 2262 Rayburn House Office Building,Washington,DC,20515-0526
Vern,Buchanan, 2409 Rayburn House Office Building,Washington,DC,20515-0916
Nikki,Budzinski, 1717 Longworth House Office Building,Washington,DC,20515-1313
Tim,Burchett, 1122 Longworth House Office Building,Washington,DC,20515-4202
Eric,Burlison, 1108 Longworth House Office Building,Washington,DC,20515-2507
Janelle,Bynum, 1508 Longworth House Office Building,Washington,DC,20515-3705
Ken,Calvert, 2205 Rayburn House Office Building,Washington,DC,20515-0541
Kat,Cammack, 2421 Rayburn House Office Building,Washington,DC,20515-0903
Salud,Carbajal, 2331 Rayburn House Office Building,Washington,DC,20515-0524
Mike,Carey, 1433 Longworth House Office Building,Washington,DC,20515-3515
André,Carson, 2135 Rayburn House Office Building,Washington,DC,20515-1407
Earl,Carter, 2432 Rayburn House Office Building,Washington,DC,20515-1001
John,Carter, 2208 Rayburn House Office Building,Washington,DC,20515-4331
Troy,Carter, 442 Cannon House Office Building,Washington,DC,20515-1802
Greg,Casar, 446 Cannon House Office Building,Washington,DC,20515-4335
Ed,Case, 2210 Rayburn House Office Building,Washington,DC,20515-1101
Sean,Casten, 2440 Rayburn House Office Building,Washington,DC,20515-1306
Kathy,Castor, 2188 Rayburn House Office Building,Washington,DC,20515-0914
Joaquin,Castro, 2241 Rayburn House Office Building,Washington,DC,20515-4320
Sheila,Cherfilus-McCormick, 2442 Rayburn House Office Building,Washington,DC,20515-0920
Judy,Chu, 2423 Rayburn House Office Building,Washington,DC,20515-0528
Juan,Ciscomani, 461 Cannon House Office Building,Washington,DC,20515-0306
Gilbert,Cisneros, 2463 Rayburn House Office Building,Washington,DC,20515-0531
Katherine,Clark, 2368 Rayburn House Office Building,Washington,DC,20515-2105
Yvette,Clarke, 2058 Rayburn House Office Building,Washington,DC,20515-3209
Emanuel,Cleaver, 2217 Rayburn House Office Building,Washington,DC,20515-2505
Ben,Cline, 2443 Rayburn House Office Building,Washington,DC,20515-4606
Michael,Cloud, 304 Cannon House Office Building,Washington,DC,20515-4327
James,Clyburn, 274 Cannon House Office Building,Washington,DC,20515-4006
Andrew,Clyde, 445 Cannon House Office Building,Washington,DC,20515-1009
Steve,Cohen, 2268 Rayburn House Office Building,Washington,DC,20515-4209
Tom,Cole, 2207 Rayburn House Office Building,Washington,DC,20515-3604
Mike,Collins, 2351 Rayburn House Office Building,Washington,DC,20515-1010
James,Comer, 2410 Rayburn House Office Building,Washington,DC,20515-1701
Herbert,Conaway, 1022 Longworth House Office Building,Washington,DC,20515-3003
Gerald,Connolly, 2265 Rayburn House Office Building,Washington,DC,20515-4611
J.,Correa, 2082 Rayburn House Office Building,Washington,DC,20515-0546
Jim,Costa, 2081 Rayburn House Office Building,Washington,DC,20515-0521
Joe,Courtney, 2449 Rayburn House Office Building,Washington,DC,20515-0702
Angie,Craig, 2052 Rayburn House Office Building,Washington,DC,20515-2302
Elijah,Crane, 307 Cannon House Office Building,Washington,DC,20515-0302
Jeff,Crank, 1029 Longworth House Office Building,Washington,DC,20515-0605
Eric,Crawford, 2422 Rayburn House Office Building,Washington,DC,20515-0401
Dan,Crenshaw, 248 Cannon House Office Building,Washington,DC,20515-4302
Jasmine,Crockett, 1616 Longworth House Office Building,Washington,DC,20515-4330
Jason,Crow, 1323 Longworth House Office Building,Washington,DC,20515-0606
Henry,Cuellar, 2308 Rayburn House Office Building,Washington,DC,20515-4328
Sharice,Davids, 2435 Rayburn House Office Building,Washington,DC,20515-1603
Warren,Davidson, 2113 Rayburn House Office Building,Washington,DC,20515-3508
Danny,Davis, 2159 Rayburn House Office Building,Washington,DC,20515-1307
Donald,Davis, 1123 Longworth House Office Building,Washington,DC,20515-3301
Monica,De La Cruz, 1415 Longworth House Office Building,Washington,DC,20515-4315
Madeleine,Dean, 150 Cannon House Office Building,Washington,DC,20515-3804
Diana,DeGette, 2111 Rayburn House Office Building,Washington,DC,20515-0601
Rosa,DeLauro, 2413 Rayburn House Office Building,Washington,DC,20515-0703
Suzan,DelBene, 2311 Rayburn House Office Building,Washington,DC,20515-4701
Christopher,Deluzio, 1222 Longworth House Office Building,Washington,DC,20515-3817
Mark,DeSaulnier, 2134 Rayburn House Office Building,Washington,DC,20515-0510
Scott,DesJarlais, 2304 Rayburn House Office Building,Washington,DC,20515-4204
Maxine,Dexter, 1207 Longworth House Office Building,Washington,DC,20515-3703
Mario,Diaz-Balart, 374 Cannon House Office Building,Washington,DC,20515-0926
Debbie,Dingell, 102 Cannon House Office Building,Washington,DC,20515-2206
Lloyd,Doggett, 2307 Rayburn House Office Building,Washington,DC,20515-0001
Byron,Donalds, 1710 Longworth House Office Building,Washington,DC,20515-0919
Troy,Downing, 1529 Longworth House Office Building,Washington,DC,20515-0001
Neal,Dunn, 466 Cannon House Office Building,Washington,DC,20515-0902
Chuck,Edwards, 1505 Longworth House Office Building,Washington,DC,20515-3311
Sarah,Elfreth, 1213 Longworth House Office Building,Washington,DC,20515-2003
Jake,Ellzey, 1721 Longworth House Office Building,Washington,DC,20515-4306
Tom,Emmer, 326 Cannon House Office Building,Washington,DC,20515-2306
Veronica,Escobar, 2448 Rayburn House Office Building,Washington,DC,20515-4316
Adriano,Espaillat, 2332 Rayburn House Office Building,Washington,DC,20515-3213
Ron,Estes, 2234 Rayburn House Office Building,Washington,DC,20515-1604
Dwight,Evans, 1105 Longworth House Office Building,Washington,DC,20515-3803
Gabe,Evans, 1229 Longworth House Office Building,Washington,DC,20515-0001
Mike,Ezell, 443 Cannon House Office Building,Washington,DC,20515-2404
Pat,Fallon, 2416 Rayburn House Office Building,Washington,DC,20515-4304
Julie,Fedorchak, 1607 Longworth House Office Building,Washington,DC,20515-3400
Randy,Feenstra, 2434 Rayburn House Office Building,Washington,DC,20515-1504
Cleo,Fields, 2349 Rayburn House Office Building,Washington,DC,20515-1806
Shomari,Figures, 225 Cannon House Office Building,Washington,DC,20515-0102
Randy,Fine, 244 Cannon House Office Building,Washington,DC,20515-0906
Brad,Finstad, 2418 Rayburn House Office Building,Washington,DC,20515-2301
Michelle,Fischbach, 2229 Rayburn House Office Building,Washington,DC,20515-2307
Scott,Fitzgerald, 2444 Rayburn House Office Building,Washington,DC,20515-4905
Brian,Fitzpatrick, 271 Cannon House Office Building,Washington,DC,20515-3801
Charles,Fleischmann, 2187 Rayburn House Office Building,Washington,DC,20515-4203
Lizzie,Fletcher, 2004 Rayburn House Office Building,Washington,DC,20515-4307
Mike,Flood, 343 Cannon House Office Building,Washington,DC,20515-2701
Vince,Fong, 243 Cannon House Office Building,Washington,DC,20515-0520
Bill,Foster, 2366 Rayburn House Office Building,Washington,DC,20515-1311
Valerie,Foushee, 2452 Rayburn House Office Building,Washington,DC,20515-3304
Virginia,Foxx, 2462 Rayburn House Office Building,Washington,DC,20515-3305
Lois,Frankel, 2305 Rayburn House Office Building,Washington,DC,20515-0922
Scott,Franklin, 2301 Rayburn House Office Building,Washington,DC,20515-0918
Laura,Friedman, 1517 Longworth House Office Building,Washington,DC,20515-0530
Maxwell,Frost, 1224 Longworth House Office Building,Washington,DC,20515-0910
Russell,Fry, 345 Cannon House Office Building,Washington,DC,20515-4007
Russ,Fulcher, 1514 Longworth House Office Building,Washington,DC,20515-1201
John,Garamendi, 2428 Rayburn House Office Building,Washington,DC,20515-0508
Andrew,Garbarino, 2344 Rayburn House Office Building,Washington,DC,20515-3202
Robert,Garcia, 109 Cannon House Office Building,Washington,DC,20515-0542
Sylvia,Garcia, 2419 Rayburn House Office Building,Washington,DC,20515-4329
Jesús,García, 2334 Rayburn House Office Building,Washington,DC,20515-1304
Brandon,Gill, 1305 Longworth House Office Building,Washington,DC,20515-4326
Laura,Gillen, 428 Cannon House Office Building,Washington,DC,20515-3204
Carlos,Gimenez, 448 Cannon House Office Building,Washington,DC,20515-0001
Jared,Golden, 1107 Longworth House Office Building,Washington,DC,20515-1902
Craig,Goldman, 1716 Longworth House Office Building,Washington,DC,20515-4312
Daniel,Goldman, 245 Cannon House Office Building,Washington,DC,20515-3210
Jimmy,Gomez, 506 Cannon House Office Building,Washington,DC,20515-0534
Tony,Gonzales, 2239 Rayburn House Office Building,Washington,DC,20515-4323
Vicente,Gonzalez, 1201 Longworth House Office Building,Washington,DC,20515-4334
Lance,Gooden, 2431 Rayburn House Office Building,Washington,DC,20515-4305
Maggie,Goodlander, 223 Cannon House Office Building,Washington,DC,20515-2902
Paul,Gosar, 2057 Rayburn House Office Building,Washington,DC,20515-0309
Josh,Gottheimer, 106 Cannon House Office Building,Washington,DC,20515-3005
Sam,Graves, 1135 Longworth House Office Building,Washington,DC,20515-2506
Adam,Gray, 1230 Longworth House Office Building,Washington,DC,20515-0513
